!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:23:13,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S22(DB),S22(DEG),
3537500000,-8.3122101,8.8944197,
3542000000,-8.4118919,11.580704,
3546500000,-8.5735111,14.797576,
3551000000,-8.7623444,17.89838,
3555500000,-9.1767197,19.97349,
3560000000,-9.8627663,22.268707,
3564500000,-10.641073,24.41795,
3569000000,-11.516459,24.588608,
3573500000,-12.625777,22.819248,
3578000000,-13.870179,19.453648,
3582500000,-14.896606,12.91832,
3587000000,-15.472028,3.2999415,
3591500000,-15.442365,-6.8535705,
3596000000,-14.900846,-15.485721,
3600500000,-13.960431,-20.763485,
3605000000,-13.01707,-24.184181,
3609500000,-12.074051,-25.057428,
3614000000,-11.257019,-24.753208,
3618500000,-10.544886,-23.441708,
3623000000,-9.9079275,-21.562845,
3627500000,-9.3532305,-19.600439,
3632000000,-8.9063578,-16.925224,
3636500000,-8.4849901,-14.179177,
3641000000,-8.253274,-11.30823,
3645500000,-8.0501728,-7.8424191,
3650000000,-7.9696321,-4.4381413,
3654500000,-8.047946,-1.1171966,
3659000000,-8.3183308,2.6535294,
3663500000,-8.628294,6.034749,
3668000000,-9.1548052,9.0818491,
3672500000,-9.9173841,11.976395,
3677000000,-10.852335,14.549207,
3681500000,-11.94269,15.480559,
3686000000,-13.257982,14.385858,
3690500000,-14.711804,11.500129,
3695000000,-16.064816,4.9958034,
3699500000,-16.982441,-6.3567662,
3704000000,-17.031204,-18.94558,
3708500000,-16.392523,-29.603464,
3713000000,-15.3204,-36.683197,
3717500000,-14.07515,-39.300365,
3722000000,-12.935004,-40.126202,
3726500000,-11.931598,-40.116245,
3731000000,-11.15743,-38.161152,
3735500000,-10.410338,-36.089149,
3740000000,-9.7814693,-33.737408,
3744500000,-9.2293472,-30.896652,
3749000000,-8.774642,-27.80122,
3753500000,-8.4380856,-24.177725,
3758000000,-8.1811047,-20.621584,
3762500000,-8.0760117,-16.638113,
3767000000,-8.0829477,-12.360208,
3771500000,-8.2765532,-7.5973144,
3776000000,-8.6368895,-3.3046947,
3780500000,-9.1735306,0.85284346,
3785000000,-9.9999619,4.9652114,
3789500000,-10.980411,8.4116945,
3794000000,-12.167812,10.765149,
3798500000,-13.653897,10.748683,
3803000000,-15.378254,8.9104471,
3807500000,-16.995249,3.0387611,
3812000000,-18.311087,-8.3530445,
3816500000,-18.75136,-22.4102,
3821000000,-18.266975,-36.048019,
3825500000,-17.011438,-44.81538,
3830000000,-15.759472,-49.69318,
3834500000,-14.414896,-51.889992,
3839000000,-13.212143,-52.501156,
3843500000,-12.228456,-52.011192,
3848000000,-11.254349,-49.729473,
3852500000,-10.378113,-47.87822,
3857000000,-9.7011414,-44.695766,
3861500000,-9.161171,-40.898193,
3866000000,-8.6817989,-36.749485,
3870500000,-8.348237,-32.244015,
3875000000,-8.2229557,-27.448345,
3879500000,-8.2468052,-22.284214,
3884000000,-8.473115,-17.144106,
3888500000,-8.7891321,-11.845438,
3893000000,-9.3406677,-6.7696309,
3897500000,-10.120968,-1.8507222,
3902000000,-11.091924,2.7799258,
3906500000,-12.207278,6.3918219,
3911000000,-13.665257,8.6657953,
3915500000,-15.413702,9.560401,
3920000000,-17.263735,6.2508526,
3924500000,-19.094013,-1.4289913,
3929000000,-20.56485,-14.967301,
3933500000,-20.865112,-32.519688,
3938000000,-20.01866,-47.510685,
3942500000,-18.447603,-56.898117,
3947000000,-16.731613,-61.890133,
3951500000,-15.26035,-64.462234,
3956000000,-13.917948,-64.581184,
3960500000,-12.664502,-62.851688,
3965000000,-11.511965,-60.641376,
